GWP100a;location
0.23173544164053836;FI
1.4842452474005543;IN-Eastern grid
0.005092430730698689;ET
0.4596923498276808;CN-YN
1.128376072043894;CN-XJ
0.18150253621028595;KE
0.284479653812255;DK
0.8510893099984707;CENTREL
0.00440103476959617;AL
0.6755263501683106;JM
0.49599089358147924;BH
0.6987151961667939;KW
0.5724779666020917;US-MRO
0.9711500626172689;CN-JX
0.8605376993734201;CN-GD
0.6459471163453412;TM
0.8339580065769823;BA
0.6979577691260068;PH
0.09913156803210267;NZ
0.5110268524455428;ME
0.05175019560548327;CM
0.8963615388509317;RS
1.2180811175194408;CN-HB
0.01963443650007803;CR
0.3726672434626399;AR
0.009156640524300664;NO
0.5720048578069052;LK
0.3604171657691553;SD
0.9674481866985607;KZ
0.04314650557214132;IS
0.05086713367813112;CA-MB
0.018534416345986786;CA-PE
0.16196230138532816;CO
1.0143169425745515;CN-SGCC
1.0815636428985755;ID
0.8251127483708512;SN
0.29842472753152105;HN
0.25795684326288365;AM
1.059574380630489;CA-NU
1.396051200247279;CN-HL
0.2028961686761555;BR
0.6992305362592244;TH
0.06205632934977685;CA-BC
0.1923720939110341;LT
0.720544733036026;CA-SK
0.48024220043824734;CN-HU
0.00440103476959617;PY
0.9179157455960839;AU
1.1707168643172359;MN
0.21339384651389381;US-NPCC
0.9695869752085738;EE
0.521376472860624;US-RFC
0.6663709188828209;CN-GX
0.388367108913227;IE
0.8346165726222755;CN-ZJ
0.7953652985470813;CN-FJ
0.21490347724842881;HR
1.273092172374198;CN-NX
0.4602744817566729;SG
0.5547628239359992;CL
0.14278956500046283;AT
0.1785824815247981;PE
0.7840222661623646;GR
1.221477590768302;CN-HE
0.4424103766536803;ZW
0.525921649000148;TN
0.14876322835617714;ZM
0.28452093441266274;VE
0.43939269246678386;IT
1.0141065286164126;PL
0.22720147900459117;BE
0.14695728521569495;EC
0.5410311124497234;LU
0.21514134557742945;SK
0.14644574940480135;CA-YK
0.6039933931007074;IR
1.562353789320994;CN-NM
0.8926064878541718;LB
0.40745170127804936;BO
0.6838077253242518;IL
